dictionary,page_id,record_index,line_index,marker,status,start,end,primary_language,language_distribution,source_ranges,normalized_value,value
Chukchi-Russian,page_3,0,0,lx,exact,0,11,Chukchi,Chukchi:11,0:11,апԓёратвака,апԓёратвака
Chukchi-Russian,page_3,0,1,gn,exact,12,54,Russian,Russian:37,12:54,че́рез не́которое вре́мя; немно́го погодя́,"че́рез не́которое вре́мя, немно́го погодя́"
Chukchi-Russian,page_3,1,2,lx,exact,55,63,Chukchi,Chukchi:8,55:63,аркычеты,аркычеты
Chukchi-Russian,page_3,1,3,gn,exact,64,82,Russian,Russian:16,64:82,накло́нно; пока́то,"накло́нно, пока́то"
Chukchi-Russian,page_3,1,4,se,compact,84,101,Chukchi,Chukchi:14,84:101,аркычеты ваԓьын,аркычеты ваԓьын
Chukchi-Russian,page_3,1,5,gn,exact,102,122,Russian,Russian:18,102:122,накло́нный; пока́тый,"накло́нный, пока́тый"
Chukchi-Russian,page_3,2,6,lx,exact,123,133,Chukchi,Chukchi:10,123:133,аркычыткок,аркычыткок
Chukchi-Russian,page_3,2,7,gn,exact,134,143,Russian,Russian:9,134:143,кача́ться,кача́ться
Chukchi-Russian,page_3,2,8,un,exact,144,162,Russian,Russian:15,144:162,о ло́дке; самолёте,"о ло́дке, самолёте"
Chukchi-Russian,page_3,3,9,lx,exact,164,171,Chukchi,Chukchi:7,164:171,армагты,армагты
Chukchi-Russian,page_3,3,10,gn,exact,172,179,Russian,Russian:7,172:179,си́льно,си́льно
Chukchi-Russian,page_3,3,11,se,exact,181,195,Chukchi,Chukchi:13,181:195,армагты ваԓьын,армагты ваԓьын
Chukchi-Russian,page_3,3,12,gn,exact,196,204,Russian,Russian:8,196:204,си́льный,си́льный
Chukchi-Russian,page_3,3,13,se,exact,206,220,Chukchi,Chukchi:14,206:220,армаԓтатгыргын,армаԓтатгыргын
Chukchi-Russian,page_3,3,14,gn,exact,221,244,Russian,Russian:21,221:244,побе́да; превосхо́дство,побе́да; превосхо́дство
Chukchi-Russian,page_3,4,15,lx,exact,245,255,Chukchi,Chukchi:10,245:255,аройвыԓьын,аройвыԓьын
Chukchi-Russian,page_3,4,16,sn,structural,,,meta,,,1,1
Chukchi-Russian,page_3,4,17,gn,exact,259,266,Russian,Russian:7,259:266,мо́щный,мо́щный
Chukchi-Russian,page_3,4,18,sn,structural,,,meta,,,2,2
Chukchi-Russian,page_3,4,19,gn,exact,271,280,Russian,Russian:9,271:280,богаты́рь,богаты́рь
Chukchi-Russian,page_3,5,20,lx,exact,281,290,Chukchi,Chukchi:9,281:290,аромкатык,аромкатык
Chukchi-Russian,page_3,5,21,gn,exact,291,304,Russian,Russian:13,291:304,беспоко́иться,беспоко́иться
Chukchi-Russian,page_3,5,22,un,exact,305,314,Russian,Russian:8,305:314,об оле́не,об оле́не
Chukchi-Russian,page_3,6,23,lx,exact,316,322,Chukchi,Chukchi:6,316:322,аръаԓя,аръаԓя
Chukchi-Russian,page_3,6,24,sn,structural,,,meta,,,1,1
Chukchi-Russian,page_3,6,25,gn,exact,326,332,Russian,Russian:6,326:332,о́чень,о́чень
Chukchi-Russian,page_3,6,26,sn,structural,,,meta,,,2,2
Chukchi-Russian,page_3,6,27,gn,exact,337,348,Russian,Russian:11,337:348,соверше́нно,соверше́нно
Chukchi-Russian,page_3,7,28,lx,exact,349,357,Chukchi,Chukchi:8,349:357,аръапаӈы,аръапаӈы
Chukchi-Russian,page_3,7,29,gn,exact,358,381,Russian,Russian:20,358:381,бульо́н; мясно́й отва́р,"бульо́н, мясно́й отва́р"
Chukchi-Russian,page_3,8,30,lx,exact,382,391,Chukchi,Chukchi:9,382:391,арычгатык,арычгатык
Chukchi-Russian,page_3,8,31,gn,exact,392,415,Russian,Russian:19,392:415,лечь; ложи́ться на́ бок,лечь; ложи́ться на́ бок
Chukchi-Russian,page_3,9,32,lx,exact,416,426,Chukchi,Chukchi:10,416:426,арычгытвак,арычгытвак
Chukchi-Russian,page_3,9,33,gn,exact,427,443,Russian,Russian:14,427:443,лежа́ть на боку́,лежа́ть на боку́
Chukchi-Russian,page_3,10,34,lx,exact,444,451,Chukchi,Chukchi:7,444:451,атӄатык,атӄатык
Chukchi-Russian,page_3,10,35,gn,exact,452,460,Russian,Russian:8,452:460,хрома́ть,хрома́ть
Chukchi-Russian,page_3,11,36,lx,exact,461,469,Chukchi,Chukchi:8,461:469,атӄэԓгын,атӄэԓгын
Chukchi-Russian,page_3,11,37,gn,exact,470,503,Russian,Russian:30,470:503,реме́нь для стрено́живания оле́ня,реме́нь для стрено́живания оле́ня
Chukchi-Russian,page_3,12,38,lx,exact,504,509,Chukchi,Chukchi:5,504:509,атчык,атчык
Chukchi-Russian,page_3,12,39,gn,exact,510,520,Russian,Russian:10,510:520,пря́таться,пря́таться
Chukchi-Russian,page_3,13,40,lx,exact,521,530,Chukchi,Chukchi:9,521:530,атчычетык,атчычетык
Chukchi-Russian,page_3,13,41,gn,exact,531,548,Russian,Russian:15,531:548,игра́ть в пря́тки,игра́ть в пря́тки
Chukchi-Russian,page_3,14,42,lx,exact,549,557,Chukchi,Chukchi:8,549:557,атчьатык,атчьатык
Chukchi-Russian,page_3,14,43,gn,exact,558,567,Russian,Russian:9,558:567,ложи́ться,ложи́ться
Chukchi-Russian,page_3,14,44,un,exact,568,573,Russian,Russian:5,568:573,спать,спать
Chukchi-Russian,page_3,15,45,lx,exact,575,583,Chukchi,Chukchi:8,575:583,атъыԓёкэ,атъыԓёкэ
Chukchi-Russian,page_3,15,46,gn,exact,584,592,Russian,Russian:8,584:592,дека́брь,дека́брь
Chukchi-Russian,page_3,16,47,lx,exact,593,597,Chukchi,Chukchi:4,593:597,атын,атын
Chukchi-Russian,page_3,16,48,gn,exact,598,603,Russian,Russian:5,598:603,ра́на,ра́на
Chukchi-Russian,page_3,17,49,lx,exact,604,613,Chukchi,Chukchi:9,604:613,атынватъё,атынватъё
Chukchi-Russian,page_3,17,50,gn,exact,614,622,Russian,Russian:8,614:622,ра́неный,ра́неный
Chukchi-Russian,page_3,18,51,lx,exact,623,632,Chukchi,Chukchi:9,623:632,атынватык,атынватык
Chukchi-Russian,page_3,18,52,gn,exact,633,640,Russian,Russian:7,633:640,ра́нить,ра́нить
Chukchi-Russian,page_3,19,53,lx,exact,641,644,Chukchi,Chukchi:3,641:644,атэ,атэ
Chukchi-Russian,page_3,19,54,gn,exact,645,650,Russian,Russian:5,645:650,па́па,па́па
Chukchi-Russian,page_3,20,55,lx,exact,651,664,Chukchi,Chukchi:13,651:664,ачарэкэгыргын,ачарэкэгыргын
Chukchi-Russian,page_3,20,56,gn,exact,665,689,Russian,Russian:21,665:689,чистота́; чи́стое ме́сто,чистота́; чи́стое ме́сто
Chukchi-Russian,page_3,21,57,lx,exact,690,695,Chukchi,Chukchi:5,690:695,ачгыт,ачгыт
Chukchi-Russian,page_3,21,58,gn,exact,696,709,Russian,Russian:11,696:709,ряд; шере́нга,"ряд, шере́нга"
Chukchi-Russian,page_3,22,59,lx,exact,710,716,Chukchi,Chukchi:6,710:716,ачгыта,ачгыта
Chukchi-Russian,page_3,22,60,gn,exact,717,723,Russian,Russian:6,717:723,ря́дом,ря́дом
Chukchi-Russian,page_3,23,61,lx,exact,724,735,Chukchi,Chukchi:11,724:735,ачечавкэгты,ачечавкэгты
Chukchi-Russian,page_3,23,62,gn,exact,736,746,Russian,Russian:10,736:746,непоня́тно,непоня́тно
Chukchi-Russian,page_3,23,63,se,compact,748,768,Chukchi,Chukchi:17,748:768,ачечавкэгты ваԓьын,ачечавкэгты ваԓьын
Chukchi-Russian,page_3,23,64,gn,exact,769,793,Russian,Russian:22,769:793,непоня́тный; зага́дочный,непоня́тный; зага́дочный
Chukchi-Russian,page_3,24,65,lx,exact,794,798,Chukchi,Chukchi:4,794:798,ачыӈ,ачыӈ
Chukchi-Russian,page_3,24,66,gn,exact,799,803,Russian,Russian:4,799:803,долг,долг
Chukchi-Russian,page_3,24,67,un,exact,804,826,Russian,Russian:18,804:826,то; что взя́то взаймы́,"то, что взя́то взаймы́"
Chukchi-Russian,page_3,25,68,lx,exact,828,834,Chukchi,Chukchi:6,828:834,ачыӈык,ачыӈык
Chukchi-Russian,page_3,25,69,hm,exact,256,257,meta,,256:257,1,1
Chukchi-Russian,page_3,25,70,gn,exact,837,849,Russian,Russian:10,837:849,брать в долг,брать в долг
Chukchi-Russian,page_3,26,71,lx,exact,850,856,Chukchi,Chukchi:6,850:856,ачыӈык,ачыӈык
Chukchi-Russian,page_3,26,72,hm,exact,268,269,meta,,268:269,2,2
Chukchi-Russian,page_3,26,73,gn,exact,860,868,Russian,Russian:8,860:868,проси́ть,проси́ть
Chukchi-Russian,page_3,26,74,un,exact,869,892,Russian,Russian:19,869:892,сде́лать что́-л. вдвоём,сде́лать что́-л. вдвоём
Chukchi-Russian,page_3,26,75,gn,exact,895,906,Russian,Russian:11,895:906,пригласи́ть,пригласи́ть
Chukchi-Russian,page_3,26,76,un,exact,907,915,Russian,Russian:7,907:915,с собо́й,с собо́й
Chukchi-Russian,page_3,27,77,lx,exact,917,922,Chukchi,Chukchi:5,917:922,ачьэӄ,ачьэӄ
Chukchi-Russian,page_3,27,78,gn,exact,923,931,Russian,Russian:8,923:931,моря́нка,моря́нка
Chukchi-Russian,page_3,27,79,un,exact,932,941,Russian,Russian:8,932:941,вид у́тки,вид у́тки
Circassian-English-Turkish,page_1,0,0,lx,exact,55,62,Circassian-Arabic,Circassian-Arabic:7,55:62,وِشْطِه,وِشْطِه
Circassian-English-Turkish,page_1,0,1,ph,exact,63,69,Circassian-Latin,Circassian-Latin:6,63:69,wéshté,wéshté
Circassian-English-Turkish,page_1,0,2,ge,exact,78,82,English-Latin,English-Latin:4,78:82,able,Able
Circassian-English-Turkish,page_1,0,3,ps,exact,95,96,English-Latin,English-Latin:1,95:96,a,a
Circassian-English-Turkish,page_1,0,4,de,exact,43,51,English-Latin,English-Latin:6,43:51,apt; fit,"apt, fit"
Circassian-English-Turkish,page_1,0,5,gn,exact,72,77,Turkish-Arabic,Turkish-Arabic:5,72:77,الملو,الملو
Circassian-English-Turkish,page_1,1,6,lx,exact,102,114,Circassian-Arabic,Circassian-Arabic:11,102:114,پْسِی شوُنِه,پْسِی شوُنِه
Circassian-English-Turkish,page_1,1,7,ph,exact,115,127,Circassian-Latin,Circassian-Latin:11,115:127,psee shooney,psee shooney
Circassian-English-Turkish,page_1,1,8,ge,exact,34,38,English-Latin,English-Latin:4,34:38,able,Able
Circassian-English-Turkish,page_1,1,9,ps,exact,84,87,English-Latin,English-Latin:2,84:87,v.n,v.n
Circassian-English-Turkish,page_1,1,10,de,exact,89,99,English-Latin,English-Latin:8,89:99,to be able,to be able
Circassian-English-Turkish,page_1,1,11,gn,exact,130,139,Turkish-Arabic,Turkish-Arabic:8,130:139,ایده بلمك,ایده بلمك
Circassian-English-Turkish,page_1,2,12,lx,exact,155,161,Circassian-Arabic,Circassian-Arabic:6,155:161,آپْسِه,آپْسِه
Circassian-English-Turkish,page_1,2,13,ph,exact,162,168,Circassian-Latin,Circassian-Latin:6,162:168,áhpsey,áhpsey
Circassian-English-Turkish,page_1,2,14,ge,exact,140,145,English-Latin,English-Latin:5,140:145,above,Above
Circassian-English-Turkish,page_1,2,15,ps,exact,185,189,English-Latin,English-Latin:4,185:189,prep,prep
Circassian-English-Turkish,page_1,2,16,gn,exact,171,177,Turkish-Arabic,Turkish-Arabic:6,171:177,یوقرده,یوقرده
Circassian-English-Turkish,page_1,3,17,lx,exact,193,206,Circassian-Arabic,Circassian-Arabic:12,193:206,طْشِیطْلم گِه,طْشِیطْلم گِه
Circassian-English-Turkish,page_1,3,18,ph,exact,207,220,Circassian-Latin,Circassian-Latin:12,207:220,tshitlem ghey,tshitlem ghey
Circassian-English-Turkish,page_1,3,19,ge,exact,178,183,English-Latin,English-Latin:5,178:183,about,About
Circassian-English-Turkish,page_1,3,20,ps,exact,147,151,English-Latin,English-Latin:4,147:151,prep,prep
Circassian-English-Turkish,page_1,3,21,gn,exact,223,236,Turkish-Arabic,Turkish-Arabic:10,223:236,صانكه — قرردن,صانكه — قرردن
Circassian-English-Turkish,page_1,4,22,lx,exact,253,266,Circassian-Arabic,Circassian-Arabic:12,253:266,طْصْشِی اِفمه,طْصْشِی اِفمه
Circassian-English-Turkish,page_1,4,23,ph,exact,267,280,Circassian-Latin,Circassian-Latin:10,267:280,t'z'shee-éfmé,t'z'shee-éfmé
Circassian-English-Turkish,page_1,4,24,ge,exact,237,244,English-Latin,English-Latin:7,237:244,abridge,Abridge
Circassian-English-Turkish,page_1,4,25,ps,exact,414,417,English-Latin,English-Latin:2,414:417,v.a,v.a
Circassian-English-Turkish,page_1,4,26,gn,exact,283,290,Turkish-Arabic,Turkish-Arabic:7,283:290,قصالتمق,قصالتمق
Circassian-English-Turkish,page_1,5,27,lx,exact,304,311,Circassian-Arabic,Circassian-Arabic:6,304:311,یِه مِپ,یِه مِپ
Circassian-English-Turkish,page_1,5,28,va,exact,315,333,Circassian-Arabic,Circassian-Arabic:16,315:333,تِیه پْشِه واُونِم,تِیه پْشِه واُونِم
Circassian-English-Turkish,page_1,5,29,ph,exact,334,358,Circassian-Latin,Circassian-Latin:20,334:358,yeeh mep; tipshéh voonem,yeeh mep; tipshéh voonem
Circassian-English-Turkish,page_1,5,30,ge,exact,291,297,English-Latin,English-Latin:6,291:297,absent,Absent
Circassian-English-Turkish,page_1,5,31,ps,exact,463,464,English-Latin,English-Latin:1,463:464,a,a
Circassian-English-Turkish,page_1,5,32,gn,exact,361,368,Turkish-Arabic,Turkish-Arabic:7,361:368,ناموجود,ناموجود
Circassian-English-Turkish,page_1,6,33,lx,exact,382,389,Circassian-Arabic,Circassian-Arabic:7,382:389,ارزارار,ارزارار
